title,rating,ratings_count,timestamp
Long Time Gone,3.77,91,2024-11-23 17:16:15.002387
Masquerade,3.46,52,2024-11-23 17:16:15.002387
"Frozen Lives (The Coroner'S Daughter Mysteries, #4)",4.33,153,2024-11-23 17:16:15.002387
"Brooklyn Kills Me (Friends And Enemies, #2)",3.68,76,2024-11-23 17:16:15.002387
Dark Space,3.69,124,2024-11-23 17:16:15.002387
The Terrifying Tales Of Vivian Vance: A Graphic Novel,3.73,106,2024-11-23 17:16:15.002387
The Bitter End,3.82,483,2024-11-23 17:16:15.002387
The Woman In The Cabin,3.99,353,2024-11-23 17:16:15.002387
I’Ll Be Alone For Christmas: A Thriller Novella,3.95,151,2024-11-23 17:16:15.002387
Haven,3.78,73,2024-11-23 17:16:15.002387
"Mother, Daughter",4.24,126,2024-11-23 17:16:15.002387
Kill Society (The Girl Who Would Be Sheriff #4),4.74,103,2024-11-23 17:16:15.002387
Iblis Di Pekarangan,3.95,39,2024-11-23 17:16:15.002387
Cracks Beneath The Surface (Jhonni Laurent #2),3.56,48,2024-11-23 17:16:15.002387
Cemetery Lodge,4.5,50,2024-11-23 17:16:15.002387
Game Over (Sebastian Winter #3),4.97,34,2024-11-23 17:16:15.002387
This Girl'S A Killer,3.74,2271,2024-11-23 17:16:15.002387
Where They Last Saw Her,3.9,1868,2024-11-23 17:16:15.002387
I'M Starting To Worry About This Black Box Of Doom,4.16,2730,2024-11-23 17:16:15.002387
William,3.6,3917,2024-11-23 17:16:15.002387
The Hitchcock Hotel,3.63,3377,2024-11-23 17:16:15.002387
The Mesmerist,3.71,1046,2024-11-23 17:16:15.002387
I Dreamed Of Falling,3.34,482,2024-11-23 17:16:15.002387
Snake Oil,3.63,385,2024-11-23 17:16:15.002387
We Kept Her In The Cellar,3.94,578,2024-11-23 17:16:15.002387
We Came To Welcome You,3.19,1102,2024-11-23 17:16:15.002387
The Haunting Of Moscow House,3.49,465,2024-11-23 17:16:15.002387
The Serial Killer Guide To San Francisco,3.76,1742,2024-11-23 17:16:15.002387
Compound Fracture,4.51,2558,2024-11-23 17:16:15.002387
Tiny Threads,3.25,498,2024-11-23 17:16:15.002387
The Lies We Conjure,3.75,529,2024-11-23 17:16:15.002387
Devils Kill Devils,3.22,654,2024-11-23 17:16:15.002387
"The Midnight Club: An Intriguing Dark Academia Thriller With Mysterious Secrets, Perfect For Fall 2024, Uncover The Truth This Fall",3.42,412,2024-11-23 17:16:15.002387
Such Lovely Skin,4.01,745,2024-11-23 17:16:15.002387
Under Her Spell,3.41,236,2024-11-23 17:16:15.002387
Midwestern Gothic,4.08,201,2024-11-23 17:16:15.002387
"The Trap (Alias Emma, #3)",4.18,913,2024-11-23 17:16:15.002387
The Hysterical Girls Of St. Bernadette'S,3.76,335,2024-11-23 17:16:15.002387
The Bachelorette Party,3.09,373,2024-11-23 17:16:15.002387
Gaslight,3.71,323,2024-11-23 17:16:15.002387
Ruin Road,4.01,238,2024-11-23 17:16:15.002387
Break Every Rule,4.31,879,2024-11-23 17:16:15.002387
If Anything Happens To Me,3.61,395,2024-11-23 17:16:15.002387
Guillotine,3.98,1575,2024-11-23 17:16:15.002387
The House On The Cover Of A Horror Novel,3.51,120,2024-11-23 17:16:15.002387
Everything Glittered,3.63,65,2024-11-23 17:16:15.002387
Murder On A Summer Break,3.6,139,2024-11-23 17:16:15.002387
Not A Speck Of Light: Stories,4.21,630,2024-11-23 17:16:15.002387
The Reunion,3.92,1063,2024-11-23 17:16:15.002387
"Insensible Loss (The Endings Series, #4)",4.45,20,2024-11-23 17:16:15.002387
Phantom Hearts,4.22,118,2024-11-23 17:16:15.002387
The Undead Complex,4.12,65,2024-11-23 17:16:15.002387
The Escher Man,4.11,82,2024-11-23 17:16:15.002387
Cold Trail (Garrett Kohl #4),4.16,167,2024-11-23 17:16:15.002387
"Feral, Vol. 1: Indoor Cats",3.94,190,2024-11-23 17:16:15.002387
El Ángel Vacío,4.05,39,2024-11-23 17:16:15.002387
Blood Pact (Sebastian Winter #2),4.83,52,2024-11-23 17:16:15.002387
A Song To Drown Rivers,3.94,7730,2024-11-23 17:18:10.204398
"The Striker (Gods Of The Game, #1)",3.84,31874,2024-11-23 17:18:10.204398
"The Wedding Witch (The Ex Hex, #3)",3.71,7982,2024-11-23 17:18:10.204398
"Heir (Heir Duology, #1)",4.37,4019,2024-11-23 17:18:10.204398
"The Christmas Tree Farm (Dream Harbor, #3)",3.86,12363,2024-11-23 17:18:10.204398
"Bloodguard (Old Erth, #1)",3.67,3021,2024-11-23 17:18:10.204398
"Throne Of Secrets (Prince Of Sin, #2)",4.0,6002,2024-11-23 17:18:10.204398
Best Hex Ever,3.52,3006,2024-11-23 17:18:10.204398
Fang Fiction,3.6,2774,2024-11-23 17:18:10.204398
For She Is Wrath,3.92,1497,2024-11-23 17:18:10.204398
"Bull Moon Rising (Royal Artifactual Guild, #1)",4.05,2867,2024-11-23 17:18:10.204398
Make The Season Bright,3.86,3195,2024-11-23 17:18:10.204398
A Dark And Secret Magic,3.97,3272,2024-11-23 17:18:10.204398
If I Stopped Haunting You,2.82,1966,2024-11-23 17:18:10.204398
Perfect Fit,3.99,2159,2024-11-23 17:18:10.204398
"The Nightmare Before Kissmas (Royals And Romance, #1)",4.06,6587,2024-11-23 17:18:10.204398
The Woodsmoke Women‚Äôs Book Of Spells,3.75,666,2024-11-23 17:18:10.204398
The City In Glass,3.86,1437,2024-11-23 17:18:10.204398
This Will Be Fun,3.51,1009,2024-11-23 17:18:10.204398
"Sorcery And Small Magics (The Wildersongs Trilogy, #1)",4.36,1956,2024-11-23 17:18:10.204398
A Christmas Duet,4.18,2373,2024-11-23 17:18:10.204398
A Winter Wish,3.61,874,2024-11-23 17:18:10.204398
Catch And Keep,4.19,1678,2024-11-23 17:18:10.204398
The December Market (Shelter Springs #2),4.05,1223,2024-11-23 17:18:10.204398
Some Like It Cold,3.94,530,2024-11-23 17:18:10.204398
Haunt Your Heart Out,3.24,1140,2024-11-23 17:18:10.204398
I Did Something Bad,3.81,498,2024-11-23 17:18:10.204398
Legend Of The White Snake,4.06,675,2024-11-23 17:18:10.204398
"How To Help A Hungry Werewolf (The Sanctuary For Supernatural Creatures, #1)",3.37,1109,2024-11-23 17:18:10.204398
"Divine Mortals (Divine Mortals, #1)",3.8,223,2024-11-23 17:18:10.204398
Lightning In Her Hands (Wild Magic #2),3.88,588,2024-11-23 17:18:10.204398
Feast While You Can,4.12,233,2024-11-23 17:18:10.204398
"Januaries: Stories Of Love, Magic & Betrayal",3.95,778,2024-11-23 17:18:10.204398
The Merriest Misters,3.84,424,2024-11-23 17:18:10.204398
The Last Dragon Of The East,3.92,517,2024-11-23 17:18:10.204398
Twenty-Four Seconds From Now...,4.25,1610,2024-11-23 17:18:10.204398
Book Of The Month,3.59,924,2024-11-23 17:18:10.204398
The Dividing Sky,4.41,304,2024-11-23 17:18:10.204398
The Wedding Engagement,3.58,155,2024-11-23 17:18:10.204398
The Most Wonderful Time,3.48,127,2024-11-23 17:18:10.204398
Take Me Home For Christmas (The Amazing Doctors Of Oak Bluff #1),4.52,244,2024-11-23 17:18:10.204398
Love You A Latke,3.91,756,2024-11-23 17:18:10.204398
Much Ado About Margaret,3.47,252,2024-11-23 17:18:10.204398
I'Ll Be Gone For Christmas,3.8,331,2024-11-23 17:18:10.204398
Make My Wish Come True,3.95,850,2024-11-23 17:18:10.204398
"The Bastard King (The Bastard Duology, #1)",4.2,287,2024-11-23 17:18:10.204398
Christmas Sweater Weather,3.65,385,2024-11-23 17:18:10.204398
Sixteen Minutes,4.03,78,2024-11-23 17:18:10.204398
The Hollow And The Haunted,4.36,319,2024-11-23 17:18:10.204398
Eleven Houses,3.71,76,2024-11-23 17:18:10.204398
"Deja Brew (Elemental Love, #3)",3.61,575,2024-11-23 17:18:10.204398
Mistletoe Season: Three Christmas Stories,3.84,459,2024-11-23 17:18:10.204398
Don'T Be A Stranger,3.36,185,2024-11-23 17:18:10.204398
Christmas At Spruce Hill Farm,3.96,124,2024-11-23 17:18:10.204398
Class Act,3.67,81,2024-11-23 17:18:10.204398
A Vile Season,3.73,229,2024-11-23 17:18:10.204398
The Christmas Countdown,3.9,738,2024-11-23 17:18:10.204398
I Shall Never Fall In Love,4.39,245,2024-11-23 17:18:10.204398
The Wolf Of Mayfair,3.94,716,2024-11-23 17:18:10.204398
Casters And Crowns,4.31,332,2024-11-23 17:18:10.204398
Showmance,3.94,314,2024-11-23 17:18:10.204398
The Burning Of Rosemont Abbey,4.23,128,2024-11-23 17:18:10.204398
Puppy Love At Mistletoe Junction,4.06,52,2024-11-23 17:18:10.204398
Shoestring Theory,4.17,211,2024-11-23 17:18:10.204398
"The Anti-Social Season (First Responders, #2)",3.48,121,2024-11-23 17:18:10.204398
Resisting My Roommate: A Small Town Workplace Romance,4.55,122,2024-11-23 17:18:10.204398
Till The Last Beat Of My Heart,4.02,96,2024-11-23 17:18:10.204398
If You'Re Not The One,3.91,70,2024-11-23 17:18:10.204398
"The Witch Of Wol Sin Lake (Sacred Bone, #2)",3.64,14,2024-11-23 17:18:10.204398
The Judgment Of Yoyo Gold,4.36,119,2024-11-23 17:18:10.204398
Impractical Magic,3.15,1101,2024-11-23 17:18:10.204398
Eight Nights To Win Her Heart,3.97,59,2024-11-23 17:18:10.204398
"How To Summon A Fairy Godmother (Fairies And Familiars, #1)",4.3,565,2024-11-23 17:18:10.204398
I Was Told There Would Be Romance,3.76,71,2024-11-23 17:18:10.204398
"The Demon'S Queen (A Deal With A Demon, #6)",3.74,1909,2024-11-23 17:18:10.204398
Three Things About Emmy Crawford,3.85,53,2024-11-23 17:18:10.204398
"Into The Sunset (A Western Light, #3)",4.48,178,2024-11-23 17:18:10.204398
"Christmas With You (Home To Heritage, #3)",4.79,106,2024-11-23 17:18:10.204398
"The Gentleman'S Confession (Matchmaking Mamas, #3)",4.33,289,2024-11-23 17:18:10.204398
Prince Of Glass & Midnight (Princes #3),4.17,190,2024-11-23 17:18:10.204398
The Art Thieves,4.01,75,2024-11-23 17:18:10.204398
"The Beast Takes A Bride (The Palace Of Rogues, #8)",4.33,786,2024-11-23 17:18:10.204398
Ros Demir Is Not The One,4.64,44,2024-11-23 17:18:10.204398
"Don'T Kiss And Spell (Paranormal Romance, #1)",3.73,351,2024-11-23 17:18:10.204398
"Sleeping With The Frenemy (Vega Family Love Stories, #3)",3.9,356,2024-11-23 17:18:10.204398
"Only Cold Depths (Galactic Bonds, #4)",4.17,444,2024-11-23 17:18:10.204398
Prince Of Fortune,4.07,99,2024-11-23 17:18:10.204398
We Three Kings,4.21,458,2024-11-23 17:18:10.204398
"Ira (Shades Of Sin, #6)",3.84,496,2024-11-23 17:18:10.204398
"Gossamer (The Golden Wolf, #3)",4.49,1246,2024-11-23 17:18:10.204398
The Scandal Of Rose: A Gilded Age Novella,4.02,398,2024-11-23 17:18:10.204398
"The Tryst (Bluegrass Empires, #3)",4.03,415,2024-11-23 17:18:10.204398
Intermezzo,4.08,60076,2024-11-23 17:18:10.204398
A Dark And Drowning Tide,3.68,5720,2024-11-23 17:18:10.204398
Counting Miracles,4.25,19245,2024-11-23 17:18:10.204398
"Immortal Dark (Immortal Dark Trilogy, #1)",3.74,8054,2024-11-23 17:18:10.204398
"Pucking Sweet (Jacksonville Rays, #3)",4.32,18599,2024-11-23 17:18:10.204398
When The World Tips Over,4.2,2687,2024-11-23 17:18:10.204398
The Book Swap,3.64,4822,2024-11-23 17:18:10.204398
A Fire In The Sky,3.71,3816,2024-11-23 17:18:10.204398
The Elements Of Marie Curie: How The Glow Of Radium Lit A Path For Women In Science,3.92,307,2024-11-23 17:19:32.938628
Sonny Boy: A Memoir,4.12,2114,2024-11-23 17:19:32.938628
Henry V: The Astonishing Triumph Of England'S Greatest Warrior King,4.51,912,2024-11-23 17:19:32.938628
Gather Me: A Memoir In Praise Of The Books That Saved Me,4.29,131,2024-11-23 17:19:32.938628
I Haven’T Been Entirely Honest With You,4.05,1760,2024-11-23 17:19:32.938628
No One Gets To Fall Apart: A Memoir,3.9,144,2024-11-23 17:19:32.938628
My Roman Year,3.94,126,2024-11-23 17:19:32.938628
Dorothy Parker In Hollywood,3.94,53,2024-11-23 17:19:32.938628
The Paranormal Ranger: A Navajo Investigator'S Search For The Unexplained,3.8,333,2024-11-23 17:19:32.938628
A Thousand Threads: A Memoir,4.18,117,2024-11-23 17:19:32.938628
Brothers,4.15,1248,2024-11-23 17:19:32.938628
Martin Van Buren: America'S First Politician,5.0,2,2024-11-23 17:19:32.938628
John Lewis: A Life,4.61,83,2024-11-23 17:19:32.938628
Taylor Swift Style: Fashion Through The Eras,4.38,346,2024-11-23 17:19:32.938628
The Eagle And The Hart: The Tragedy Of Richard Ii And Henry Iv,4.6,82,2024-11-23 17:19:32.938628
Every Valley: The Desperate Lives And Troubled Times That Made Handel'S Messiah,4.12,41,2024-11-23 17:19:32.938628
"The Absinthe Forger: A True Story Of Deception, Betrayal, And The World’S Most Dangerous Spirit",3.26,65,2024-11-23 17:19:32.938628
Riding Like The Wind: The Life Of Sanora Babb,4.43,23,2024-11-23 17:19:32.938628
Halfway There: A Graphic Memoir Of Self-Discovery,4.33,150,2024-11-23 17:19:32.938628
The Brothers Grimm: A Biography,4.12,16,2024-11-23 17:19:32.938628
Wildflower Emily: A Story About Young Emily Dickinson,4.38,88,2024-11-23 17:19:32.938628
Avoin - Krista Pärmäkoski,3.8,131,2024-11-23 17:19:32.938628
Macca: My Story So Far,4.66,58,2024-11-23 17:19:32.938628
Manga Biographies: Charles M. Schulz The Creator Of Snoopy And Peanuts,4.4,52,2024-11-23 17:19:32.938628
Oliver Cromwell: Commander In Chief,4.83,6,2024-11-23 17:19:32.938628
Djuna: The Extraordinary Life Of Djuna Barnes,4.0,15,2024-11-23 17:19:32.938628
Lovely One: A Memoir,4.51,2265,2024-11-23 17:19:32.938628
"Eden Undone: A True Story Of Sex, Murder, And Utopia At The Dawn Of World War Ii",3.92,324,2024-11-23 17:19:32.938628
"Something Lost, Something Gained: Reflections On Life, Love, And Liberty",4.27,2702,2024-11-23 17:19:32.938628
Who Could Ever Love You: A Family Memoir,3.94,1557,2024-11-23 17:19:32.938628
Confronting The Presidents: No Spin Assessments From Washington To Biden,4.34,1308,2024-11-23 17:19:32.938628
Something In The Woods Loves You,4.47,172,2024-11-23 17:19:32.938628
Connie: A Memoir,4.26,1382,2024-11-23 17:19:32.938628
"Runaway Train: Or, The Story Of My Life So Far",3.75,212,2024-11-23 17:19:32.938628
Hiroshima: The Last Witnesses,4.32,100,2024-11-23 17:19:32.938628
Bone Of The Bone: Essays On America By A Daughter Of The Working Class,4.4,168,2024-11-23 17:19:32.938628
Lucky Loser: How Donald Trump Squandered His Father'S Fortune And Created The Illusion Of Success,4.48,751,2024-11-23 17:19:32.938628
Character Limit: How Elon Musk Destroyed Twitter,4.3,710,2024-11-23 17:19:32.938628
Frighten The Horses: A Memoir,4.4,162,2024-11-23 17:19:32.938628
Building Material: The Memoir Of A Park Avenue Doorman,3.29,115,2024-11-23 17:19:32.938628
Reagan: His Life And Legend,4.23,224,2024-11-23 17:19:32.938628
Above The Noise: My Story Of Chasing Calm,4.37,514,2024-11-23 17:19:32.938628
At War With Ourselves: My Tour Of Duty In The Trump White House,4.01,751,2024-11-23 17:19:32.938628
America First: Roosevelt Vs. Lindbergh In The Shadow Of War,4.17,133,2024-11-23 17:19:32.938628
Cocaine And Rhinestones: A History Of George Jones And Tammy Wynette,4.16,94,2024-11-23 17:19:32.938628
Agatha Christie’S Marple: Expert On Wickedness,4.15,100,2024-11-23 17:19:32.938628
Squanto: A Native Odyssey,4.03,38,2024-11-23 17:19:32.938628
The Sunflowers: Vincent Van Gogh'S Search For Beauty,3.4,43,2024-11-23 17:19:32.938628
"The Many Lives Of James Lovelock: Science, Secrets And Gaia Theory",4.58,12,2024-11-23 17:19:32.938628
Mirkka Rekola Ii : Elämä Koko Ajan Käy Ilmi Salasta,4.0,2,2024-11-23 17:19:32.938628
